SWVersion:1.0
Serial Number,Test Start Time,Test Stop Time, SubStation ID, Overall Result, FailingBands,Frequency（GHz）,Mag Log(dB),
AMV0112820024671W31,2021/6/10 16:04:07,2021/6/10 16:04:09,HV0-1,PASS,NONE,6.535,-12.5390965878,
,2021/6/10 16:04:11,2021/6/10 16:04:13,HV0-1,PASS,NONE,6.515,-16.2764059556,
,2021/6/10 16:04:14,2021/6/10 16:04:16,HV0-1,PASS,NONE,6.515,-14.3701060451,
,2021/6/10 16:04:18,2021/6/10 16:04:20,HV0-1,PASS,NONE,6.466,-14.8285044298,
,2021/6/10 16:04:22,2021/6/10 16:04:24,HV0-1,PASS,NONE,6.456,-14.5022339246,
